class,hand,k0x,k0y,k1x,k1y,k2x,k2y,k3x,k3y,k4x,k4y,k5x,k5y,k6x,k6y,k7x,k7y,k8x,k8y,k9x,k9y,k10x,k10y,k11x,k11y,k12x,k12y,k13x,k13y,k14x,k14y,k15x,k15y,k16x,k16y,k17x,k17y,k18x,k18y,k19x,k19y,k20x,k20y
6,Right,0.0,0.0,-0.22929936305732485,-0.2802547770700637,-0.5859872611464968,-0.5477707006369427,-0.821656050955414,-0.7452229299363057,-0.8789808917197452,-1.0,-0.21656050955414013,-0.2929936305732484,-0.89171974522293,-0.07006369426751592,-0.8789808917197452,-0.17834394904458598,-0.7006369426751592,-0.24203821656050956,-0.12738853503184713,0.0,-0.8789808917197452,0.19745222929936307,-0.802547770700637,0.05732484076433121,-0.5668789808917197,0.012738853503184714,-0.11464968152866242,0.2484076433121019,-0.7834394904458599,0.4012738853503185,-0.7133757961783439,0.27388535031847133,-0.5159235668789809,0.21656050955414013,-0.1464968152866242,0.445859872611465,-0.6624203821656051,0.5477707006369427,-0.6242038216560509,0.4394904458598726,-0.45222929936305734,0.3885350318471338
6,Right,0.0,0.0,-0.17613636363636365,-0.2727272727272727,-0.4602272727272727,-0.5625,-0.6534090909090909,-0.7613636363636364,-0.6818181818181818,-1.0,-0.2840909090909091,-0.3409090909090909,-0.8295454545454546,-0.20454545454545456,-0.7386363636363636,-0.19886363636363635,-0.5681818181818182,-0.22727272727272727,-0.23863636363636365,-0.07386363636363637,-0.7954545454545454,0.017045454545454544,-0.6761363636363636,0.017045454545454544,-0.5,0.0,-0.22727272727272727,0.1590909090909091,-0.6988636363636364,0.19886363636363635,-0.6022727272727273,0.18181818181818182,-0.4375,0.1590909090909091,-0.22727272727272727,0.32954545454545453,-0.5795454545454546,0.3352272727272727,-0.5056818181818182,0.32386363636363635,-0.36363636363636365,0.32954545454545453
6,Right,0.0,0.0,-0.25862068965517243,-0.2988505747126437,-0.5747126436781609,-0.5517241379310345,-0.764367816091954,-0.7241379310344828,-0.9137931034482759,-0.8735632183908046,-0.39655172413793105,-0.3563218390804598,-0.9540229885057471,-0.3045977011494253,-0.8505747126436781,-0.3390804597701149,-0.6436781609195402,-0.3333333333333333,-0.3218390804597701,-0.05747126436781609,-1.0,-0.005747126436781609,-0.867816091954023,-0.08045977011494253,-0.632183908045977,-0.08045977011494253,-0.3045977011494253,0.20689655172413793,-0.9022988505747126,0.2471264367816092,-0.8045977011494253,0.14942528735632185,-0.6091954022988506,0.1206896551724138,-0.2988505747126437,0.43103448275862066,-0.8103448275862069,0.47701149425287354,-0.7586206896551724,0.367816091954023,-0.5862068965517241,0.3218390804597701
6,Right,0.0,0.0,-0.25257731958762886,-0.33505154639175255,-0.5412371134020618,-0.5979381443298969,-0.7164948453608248,-0.7989690721649485,-0.8350515463917526,-0.9690721649484536,-0.4690721649484536,-0.4484536082474227,-0.9536082474226805,-0.4329896907216495,-0.8762886597938144,-0.41237113402061853,-0.7164948453608248,-0.3917525773195876,-0.4381443298969072,-0.18041237113402062,-1.0,-0.18556701030927836,-0.8969072164948454,-0.20618556701030927,-0.7010309278350515,-0.18556701030927836,-0.4381443298969072,0.06701030927835051,-0.9432989690721649,0.061855670103092786,-0.845360824742268,0.0,-0.6701030927835051,-0.010309278350515464,-0.4484536082474227,0.27835051546391754,-0.865979381443299,0.30412371134020616,-0.8092783505154639,0.2268041237113402,-0.654639175257732,0.18556701030927836
6,Right,0.0,0.0,-0.13043478260869565,-0.2753623188405797,-0.3961352657004831,-0.5507246376811594,-0.5555555555555556,-0.7777777777777778,-0.5555555555555556,-1.0,-0.34782608695652173,-0.4251207729468599,-0.7971014492753623,-0.37681159420289856,-0.7101449275362319,-0.3526570048309179,-0.5362318840579711,-0.34782608695652173,-0.33816425120772947,-0.18357487922705315,-0.821256038647343,-0.15942028985507245,-0.714975845410628,-0.1497584541062802,-0.5362318840579711,-0.14492753623188406,-0.3333333333333333,0.057971014492753624,-0.7777777777777778,0.06280193236714976,-0.6666666666666666,0.04830917874396135,-0.4975845410628019,0.033816425120772944,-0.33816425120772947,0.2898550724637681,-0.6811594202898551,0.2753623188405797,-0.6038647342995169,0.22705314009661837,-0.463768115942029,0.20772946859903382
6,Right,0.0,0.0,-0.22119815668202766,-0.3271889400921659,-0.5069124423963134,-0.6036866359447005,-0.663594470046083,-0.815668202764977,-0.728110599078341,-1.0,-0.4700460829493088,-0.4838709677419355,-0.8940092165898618,-0.46543778801843316,-0.8294930875576036,-0.4470046082949309,-0.6774193548387096,-0.42857142857142855,-0.46543778801843316,-0.24423963133640553,-0.9400921658986175,-0.2534562211981567,-0.8341013824884793,-0.25806451612903225,-0.6543778801843319,-0.24423963133640553,-0.47465437788018433,-0.02304147465437788,-0.9170506912442397,-0.03686635944700461,-0.8064516129032258,-0.06912442396313365,-0.6405529953917051,-0.07373271889400922,-0.4838709677419355,0.18433179723502305,-0.8433179723502304,0.18433179723502305,-0.783410138248848,0.12442396313364056,-0.6451612903225806,0.0967741935483871
6,Right,0.0,0.0,-0.20444444444444446,-0.3333333333333333,-0.4533333333333333,-0.6,-0.5955555555555555,-0.8088888888888889,-0.6266666666666667,-1.0,-0.49333333333333335,-0.49777777777777776,-0.8533333333333334,-0.4711111111111111,-0.7777777777777778,-0.43555555555555553,-0.6355555555555555,-0.44,-0.49777777777777776,-0.28,-0.8977777777777778,-0.29777777777777775,-0.7955555555555556,-0.27111111111111114,-0.6355555555555555,-0.25333333333333335,-0.5066666666666667,-0.06666666666666667,-0.88,-0.09333333333333334,-0.7688888888888888,-0.09777777777777778,-0.6133333333333333,-0.09777777777777778,-0.5111111111111111,0.14222222222222222,-0.8088888888888889,0.1111111111111111,-0.7244444444444444,0.08,-0.5911111111111111,0.06666666666666667
6,Right,0.0,0.0,-0.1583710407239819,-0.3167420814479638,-0.39819004524886875,-0.5882352941176471,-0.5520361990950227,-0.8009049773755657,-0.5475113122171946,-1.0,-0.4796380090497738,-0.4841628959276018,-0.832579185520362,-0.4660633484162896,-0.7420814479638009,-0.416289592760181,-0.5972850678733032,-0.4117647058823529,-0.49321266968325794,-0.2669683257918552,-0.8733031674208145,-0.27149321266968324,-0.7647058823529411,-0.23529411764705882,-0.6063348416289592,-0.23076923076923078,-0.502262443438914,-0.049773755656108594,-0.8506787330316742,-0.06787330316742081,-0.7375565610859729,-0.058823529411764705,-0.5927601809954751,-0.06334841628959276,-0.5067873303167421,0.1583710407239819,-0.7918552036199095,0.13574660633484162,-0.7013574660633484,0.11312217194570136,-0.5701357466063348,0.09502262443438914
6,Right,0.0,0.0,-0.1278538812785388,-0.3150684931506849,-0.3561643835616438,-0.5844748858447488,-0.5114155251141552,-0.7990867579908676,-0.4977168949771689,-1.0,-0.4840182648401826,-0.4840182648401826,-0.8127853881278538,-0.4520547945205479,-0.7123287671232876,-0.4063926940639269,-0.5707762557077626,-0.4063926940639269,-0.5068493150684932,-0.273972602739726,-0.8401826484018264,-0.2648401826484018,-0.726027397260274,-0.228310502283105,-0.5844748858447488,-0.2237442922374429,-0.5114155251141552,-0.0593607305936073,-0.821917808219178,-0.0593607305936073,-0.7077625570776256,-0.0502283105022831,-0.5707762557077626,-0.0593607305936073,-0.502283105022831,0.1598173515981735,-0.7625570776255708,0.136986301369863,-0.6621004566210046,0.1232876712328767,-0.54337899543379,0.1141552511415525
6,Right,0.0,0.0,-0.1346153846153846,-0.32211538461538464,-0.36538461538461536,-0.5865384615384616,-0.5192307692307693,-0.8076923076923077,-0.5144230769230769,-1.0,-0.5384615384615384,-0.46634615384615385,-0.8605769230769231,-0.4230769230769231,-0.75,-0.375,-0.6105769230769231,-0.375,-0.5528846153846154,-0.2403846153846154,-0.8701923076923077,-0.22115384615384615,-0.75,-0.19230769230769232,-0.6105769230769231,-0.19230769230769232,-0.5480769230769231,-0.014423076923076924,-0.8365384615384616,-0.019230769230769232,-0.7211538461538461,-0.009615384615384616,-0.5865384615384616,-0.009615384615384616,-0.5336538461538461,0.20192307692307693,-0.7836538461538461,0.18269230769230768,-0.6826923076923077,0.16826923076923078,-0.5576923076923077,0.16346153846153846
